oid,is_anomaly
626202100005115,0
626216200003094,0
626205400000129,0
626213200007206,0
626210200011010,0
626216100002372,0
626214100035808,0
626216200000686,0
626208400039119,0
626205400003234,0
626206300005374,0
626216400010910,0
626207200007649,0
626210200000164,0
626216100005826,0
626208200002891,0
626204200033121,0
626206200004198,0
626214100027356,0
626214400018678,0
626213200001223,0
626206100004676,0
626216200001981,0
626208200013228,0
626216200034244,0
626216200016427,0
626206400002893,0
626214400005204,0
626209200005257,0
626205200002584,0
