oid,is_anomaly
848213100019301,0
848208200002390,0
848203300036571,0
848212300016327,0
848205100003077,0
848211300003352,0
848201100020211,0
848210200001106,0
848203400008271,0
848203200029795,0
848201400036263,0
848216200005066,0
848215300002445,0
848211300004471,0
848201300026833,0
848211100007760,0
848202300039115,0
848215400002744,0
848213100006835,0
848208100008480,0
848213100004389,0
848213100006344,0
848202100035449,0
848203300023435,0
848207200003630,0
848201100006269,0
848203100008906,0
848205200008149,0
848213100015371,0
848201300022237,0
