oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
848208100002193,0.0
848213100006406,0.0
848202200025893,0.0
848205400017935,0.0
848206400012744,1.0
848201400037784,0.0
848210400015993,1.0
848205200004583,0.0
848209300022779,1.0
848214100001697,1.0
848205200004552,0.0
848203300015223,1.0
848208100009153,0.0
848202200026295,0.0
848205200004509,0.0
848210200026807,1.0
848203400023297,1.0
848207400005282,1.0
848209300016867,1.0
848208100016693,0.0
848206400018903,0.0
848213100005300,0.0
848213100006344,0.0
848202400024807,0.0
848205100007289,0.0
848213100000822,0.0
848202400028683,0.0
848213100001414,0.0
848210200001106,0.0
848203100036019,0.0
