oid,is_anomaly
626202100005115,0
626208200013228,0
626206100002685,0
626205400000129,0
626216100005826,0
626210200000164,0
626207200007649,0
626204300003018,0
626213200001223,0
626207100012654,0
626216400010910,0
626214100027356,0
626208200002891,0
626207200002374,0
626201200015436,1
626214100000076,0
626210200000120,0
626202200024041,0
626205200002584,0
626212400013228,1
626210200017356,0
626207200013978,0
626216200002095,0
626216200016427,0
626209200005432,0
626216100002586,0
626211300004392,0
626210100004709,0
626216100002372,0
626210200011010,0
