oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
759215300030982,0.0
759216200031653,0.0
759215300023328,0.0
759215300007374,0.0
759216200013594,0.0
759205200005137,0.0
759208400032543,0.0
759207400014636,0.0
759213400021814,0.0
759206400016126,0.0
759216100000674,0.0
759212300002758,0.0
759208400006420,0.0
759207400007033,0.0
759204400023238,0.0
759208200017378,0.0
759206100003272,0.0
759203300022245,0.0
759216100002038,0.0
759201400013865,1.0
759209100019398,0.0
759203200007794,0.0
759215400017616,0.0
759202100005681,0.0
759204100024397,0.0
759213300006258,0.0
759208200000184,0.0
759207300015762,0.0
759214100012965,0.0
759212200003895,0.0
