oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
468208400021194,0.0
468202200021930,0.0
468207300022083,0.0
468205200020792,0.0
468216200017604,0.0
468209200002642,0.0
468205300007961,0.0
468215300000879,0.0
468208300009868,0.0
468210400000142,0.0
468204400015696,0.0
468216200032134,0.0
468216200023074,0.0
468211100005144,0.0
468211100001215,0.0
468211200005888,0.0
468204300006560,0.0
468201400000809,0.0
468212200011205,0.0
468216100005028,0.0
468216200003587,0.0
468212400007067,0.0
468202300004339,0.0
468214400001647,0.0
468214400004651,0.0
468206400017746,0.0
468202200012034,0.0
468216200023506,0.0
468216200001188,0.0
468215400022160,0.0
