oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
673206200007348,0.0
673206400021769,0.0
673213200009703,0.0
673203200007193,0.0
673210200017400,0.0
673205300023587,1.0
673205200010580,0.0
673204400040012,1.0
673202400008754,0.0
673207400007094,1.0
673206400013762,0.0
673206400012763,0.0
673205200015700,0.0
673202400009339,0.0
673202400011965,0.0
673203300023057,0.0
673215300001922,0.0
673204200016472,0.0
673216100002064,0.0
673216200004526,0.0
673215200002028,0.0
673213100000237,0.0
673214200008609,0.0
673216400038371,0.0
673215200002250,0.0
673206400002188,0.0
673210100007820,0.0
673216400015373,1.0
673202100013412,0.0
673214100038094,0.0
