oid,is_anomaly
673206200007348,0
673211200003996,0
673214200008609,0
673201400007278,0
673210400004319,0
673204400015489,0
673203300008688,0
673203100008557,0
673214100039393,0
673215200002250,0
673216200004972,0
673206400000318,0
673216200007539,0
673210200023291,0
673205200005020,0
673202400003430,0
673206300002628,0
673204300003696,0
673213100003384,0
673216200004526,0
673201300006709,0
673213200009703,0
673204200021208,0
673214200015121,0
673216100004575,0
673204100004829,0
673211300003417,0
673216100002064,0
673205400005828,0
673203300023057,0
