oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
401214100002118,0.0
401207100023410,0.0
401208100041283,0.0
401208100002372,0.0
401211200000028,0.0
401208100021568,0.0
401202200003642,0.0
401208100021321,0.0
401206400006288,0.0
401206300000746,0.0
401208100031329,0.0
401201200037583,1.0
401207100013227,0.0
401212400005818,0.0
401210100001936,1.0
401209200036338,0.0
401202100012861,0.0
401206300005643,0.0
401212200000090,0.0
401204300000686,0.0
401208100000403,0.0
401215300026815,0.0
401212300002430,0.0
401214200002905,0.0
401208300020781,0.0
401205400005364,0.0
401202200003741,0.0
401213100001592,0.0
401204200018774,0.0
401208100021522,0.0
