oid,is_anomaly
468202200021930,0
468212300006448,0
468204300013836,0
468213100000151,0
468216200023074,0
468212400007067,0
468204300006560,0
468215400022160,0
468206200004308,0
468212300019836,0
468216200003587,0
468216100005028,0
468212300003970,0
468215300001923,0
468211100005144,0
468214400004651,0
468212200022623,0
468216200017604,0
468207300022083,0
468206400017746,0
468211200005888,0
468216200032360,0
468216200001188,0
468205200003740,0
468204300003174,0
468210100001091,0
468216100017497,0
468207200013102,0
468202300004339,0
468216200031347,0
