oid,is_anomaly
252206300005395,0
252214200000543,0
252204400003106,0
252205100005283,0
252206400028932,0
252210400003374,0
252203200017849,0
252202400014850,0
252209300001402,0
252216100002643,0
252213400000379,0
252202200004398,0
252201300001904,0
252203300010937,0
252216200002097,1
252210100000555,0
252209100000697,0
252205200005681,0
252214400002983,0
252216300004681,0
252211200020077,0
252206300003815,0
252214200014029,0
252206300006148,0
252211200010094,0
252215100014891,0
252205300011040,0
252215400005374,0
252216100003543,0
252204100003357,0
