oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
795210200031949,0.0
795206400026690,0.0
795214200012179,0.0
795204200019422,0.0
795211300006652,1.0
795202400013159,0.0
795201400029362,0.0
795202100000176,0.0
795203100038619,0.0
795216100015200,1.0
795214100013289,0.0
795208200035825,0.0
795204200005117,0.0
795212100000634,0.0
795205300002089,0.0
795201400006389,0.0
795212400038984,0.0
795209300009070,0.0
795213200007617,0.0
795208100007640,0.0
795205100016977,0.0
795210300013128,0.0
795210200007795,0.0
795203300010666,0.0
795212200037812,0.0
795204300040522,0.0
795210100025685,0.0
795207100003034,0.0
795215300002054,0.0
795215200005103,0.0
