oid,is_anomaly
673206400000318,0
673216200004526,0
673214100001678,0
673203300023057,0
673213100002688,0
673205200005020,0
673211300003417,0
673204400015489,0
673211200003996,0
673207200019640,0
673209100005205,1
673203300008209,0
673213300017902,0
673214200027688,0
673216200009547,0
673215200002028,0
673215200002250,0
673202300004836,0
673210200023291,0
673205100026211,0
673212400005780,0
673215100014364,0
673204300003696,0
673202400032696,0
673210100007820,0
673210400004885,0
673204100005561,0
673216100004575,0
673205400003603,0
673204100004829,0
