oid,is_anomaly
759206400016126,0
759201300017622,0
759215400017616,0
759210300000734,0
759216200031653,0
759216100001443,0
759207100006327,0
759213300006258,0
759203400030617,0
759213400004201,0
759201100004118,0
759216100004315,0
759216100002038,0
759214100012965,0
759214100013268,0
759203400029825,0
759214100026843,0
759206200028873,0
759207400003588,0
759202100005681,0
759209100006289,0
759206400002690,0
759207200001485,0
759209100019398,0
759205300005415,0
759202200002927,0
759211100007824,0
759201200002442,0
759204200023436,0
759213100004339,0
