oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
252206300005395,0.0
252202400014850,0.0
252202400028148,0.0
252202400010214,0.0
252203300005335,0.0
252213400006353,0.0
252205400010450,0.0
252203300005366,0.0
252214200000543,0.0
252209300001402,0.0
252204400003106,0.0
252209100000697,0.0
252205100005283,0.0
252206300006148,0.0
252216300004681,0.0
252210100007109,0.0
252205400026701,0.0
252214400006853,0.0
252216300000118,0.0
252216200003996,0.0
252201200002005,0.0
252205200004728,0.0
252210400003374,0.0
252216200002097,1.0
252206200000272,0.0
252206300003815,0.0
252206400028932,0.0
252203300010937,0.0
252215200000060,0.0
252211200010094,0.0
