oid,is_anomaly
848201300002344,0
848215400006119,0
848206200016580,0
848207100006210,0
848215100000110,0
848201300026833,0
848211300004471,0
848207200005442,0
848213300000156,0
848207400010566,0
848215300015462,0
848216200005066,0
848207200003630,0
848202400024810,0
848213100018058,0
848211100007760,0
848207400015361,0
848203400036476,0
848203400005513,0
848215400007233,0
848211100002939,0
848202200005436,0
848211400023575,0
848201400037784,0
848214100026272,0
848211200016598,0
848212400036827,0
848215200015304,0
848201400005046,0
848206400009765,0
