oid,is_anomaly
352205100036362,1.0
601205400007655,1.0
575210100009871,1.0
445209200021817,1.0
757212200007123,1.0
794205300031075,1.0
584207100029112,1.0
286214400022031,1.0
480211100000774,1.0
584210100012861,1.0
401206200042064,0.0
401207100023410,0.0
401210100021981,1.0
401216400024684,0.0
401202200003642,0.0
401208100000403,0.0
401207100017439,0.0
401208100020608,0.0
401201400009086,0.0
401201200037583,1.0
401208100014600,0.0
401208100021321,0.0
401212300002430,0.0
401206300026362,0.0
401211200000028,0.0
401214100002118,0.0
401209400005925,1.0
401204200018774,0.0
401210100001936,1.0
401211400009401,0.0
401205400005364,0.0
401209300016020,0.0
401215300026815,0.0
401213100001592,0.0
401209200036338,0.0
401216100023589,0.0
401208400006614,0.0
401206100004977,0.0
401204400001435,0.0
401208100021522,0.0
