,oids,is_anomaly
0,647209400024306,1.0
1,245208100006370,1.0
2,245211400001578,1.0
3,246206200010187,1.0
4,647213200010054,1.0
5,248213400014729,1.0
6,647210200002336,1.0
7,647204300002676,1.0
8,647208100036113,1.0
9,727210400047163,1.0
10,468202200021930,1.0
11,468208400021194,0.0
12,468216200017604,0.0
13,468205200020792,0.0
14,468203400006808,0.0
15,468205200012408,1.0
16,468209200029582,0.0
17,468205300031448,0.0
18,468212200022623,0.0
19,468216200032360,0.0
20,468216200032134,0.0
21,468202100001286,0.0
22,468215300001923,0.0
23,468203200005429,0.0
24,468211200005888,0.0
25,468210200006430,0.0
26,468204400015555,0.0
27,468207300022083,0.0
28,468216300013187,0.0
29,468212300006448,0.0
30,468201400000809,0.0
31,468205100001085,0.0
32,468214400001647,0.0
33,468216100005028,0.0
34,468207200013102,0.0
35,468216300005704,0.0
36,468216200023074,0.0
37,468210400000142,0.0
38,468216200001188,0.0
39,468201300008524,0.0
