,oids,is_anomaly
0,647209400024306,1.0
1,245208100006370,1.0
2,245211400001578,1.0
3,246206200010187,1.0
4,647213200010054,1.0
5,248213400014729,1.0
6,647210200002336,1.0
7,647204300002676,1.0
8,647208100036113,1.0
9,727210400047163,1.0
10,676203400012159,0.0
11,676210400028720,1.0
12,676209100000297,0.0
13,676205400023919,0.0
14,676203400011467,1.0
15,676203300011849,0.0
16,676210100000576,1.0
17,676205400009746,0.0
18,676213100032579,0.0
19,676215100014204,0.0
20,676204300023529,0.0
21,676209400012483,1.0
22,676201100003724,1.0
23,676216100012911,1.0
24,676212400013135,1.0
25,676204400000781,1.0
26,676205200023106,1.0
27,676211200010260,1.0
28,676212200015102,0.0
29,676203200000415,0.0
30,676203200028165,0.0
31,676207300013908,0.0
32,676206200009342,0.0
33,676201100015838,1.0
34,676216300007293,0.0
35,676207400000993,1.0
36,676215400009552,0.0
37,676206100005276,0.0
38,676212300024137,1.0
39,676208400024669,0.0
