,oids,is_anomaly
0,647209400024306,1.0
1,245208100006370,1.0
2,245211400001578,1.0
3,246206200010187,1.0
4,647213200010054,1.0
5,248213400014729,1.0
6,647210200002336,1.0
7,647204300002676,1.0
8,647208100036113,1.0
9,727210400047163,1.0
10,676205400009938,0.0
11,676207400012893,0.0
12,676203400012159,0.0
13,676211300000212,0.0
14,676213100032579,0.0
15,676203300011849,0.0
16,676206200009342,0.0
17,676206300008222,0.0
18,676209100000297,0.0
19,676204200025690,0.0
20,676204300013248,0.0
21,676205100007188,0.0
22,676210400028720,1.0
23,676203400013342,0.0
24,676206400013176,0.0
25,676208100013501,0.0
26,676216300002012,0.0
27,676214300007363,0.0
28,676202200034418,0.0
29,676201100003437,0.0
30,676206200033089,0.0
31,676213100006047,0.0
32,676211400031954,0.0
33,676216400002511,0.0
34,676208200018641,0.0
35,676210200003946,0.0
36,676215300006291,0.0
37,676209200004831,0.0
38,676211300000564,0.0
39,676205100021200,0.0
