,oids,is_anomaly
0,647209400024306,1.0
1,245208100006370,1.0
2,245211400001578,1.0
3,246206200010187,1.0
4,647213200010054,1.0
5,248213400014729,1.0
6,647210200002336,1.0
7,647204300002676,1.0
8,647208100036113,1.0
9,727210400047163,1.0
10,824206200005139,0.0
11,824211100005163,1.0
12,824207100000769,0.0
13,824215100027515,1.0
14,824216200002721,0.0
15,824208200029975,1.0
16,824207100010262,0.0
17,824202400018245,1.0
18,824210200015728,0.0
19,824213200035295,0.0
20,824213100033837,0.0
21,824212100024281,1.0
22,824203300024761,0.0
23,824213200004089,1.0
24,824207400036801,1.0
25,824207100024779,0.0
26,824208100004965,1.0
27,824206300002837,1.0
28,824206300020810,1.0
29,824201200001548,1.0
30,824204400008425,1.0
31,824216200010684,0.0
32,824216200029538,0.0
33,824216200039742,0.0
34,824204300039138,0.0
35,824215200003967,1.0
36,824210400005766,1.0
37,824206200010108,0.0
38,824207100000407,0.0
39,824209300028624,1.0
40,824215300003709,1.0
41,824216200006774,0.0
42,824204400012567,1.0
43,824207100000810,0.0
44,824201300004953,1.0
45,824216200017327,0.0
46,824207100012201,1.0
47,824213200020050,0.0
48,824207100000655,0.0
49,824203400020029,0.0
50,824209200004074,0.0
51,824206200034950,0.0
52,824204200026968,0.0
53,824209100001380,0.0
54,824211400003963,0.0
55,824215300006803,0.0
56,824206100001520,0.0
57,824206300022178,0.0
58,824215300004695,0.0
59,824212400005541,0.0
