,oids,is_anomaly
0,647209400024306,1.0
1,245208100006370,1.0
2,245211400001578,1.0
3,246206200010187,1.0
4,647213200010054,1.0
5,248213400014729,1.0
6,647210200002336,1.0
7,647204300002676,1.0
8,647208100036113,1.0
9,727210400047163,1.0
10,650207300003113,0.0
11,650214400029999,0.0
12,650201400035226,0.0
13,650216200022651,0.0
14,650213100010514,0.0
15,650214400019132,0.0
16,650205200022828,0.0
17,650202400027048,0.0
18,650208100031012,0.0
19,650202100008294,0.0
20,650209400044545,0.0
21,650215400005949,0.0
22,650209100005026,0.0
23,650214400027021,0.0
24,650204200015129,0.0
25,650206300006092,0.0
26,650210300007226,0.0
27,650208200016332,0.0
28,650209200004661,0.0
29,650203100013345,0.0
30,650204400029728,0.0
31,650205400001197,0.0
32,650210200024898,0.0
33,650214400002063,0.0
34,650216200017070,0.0
35,650207100024491,0.0
36,650206400003184,0.0
37,650208100006390,0.0
38,650216200005341,0.0
39,650203100039409,0.0
40,650205400005219,0.0
41,650203200010248,0.0
42,650203300005167,0.0
43,650203400005202,0.0
44,650203200002909,0.0
45,650201300018191,0.0
46,650207100005874,0.0
47,650213100008241,0.0
48,650212400027052,0.0
49,650216200026399,0.0
50,650202100013035,0.0
51,650208100011249,0.0
52,650208400013533,0.0
53,650211200004326,0.0
54,650202200001826,0.0
55,650216400002534,0.0
56,650202200024834,0.0
57,650205400016919,0.0
58,650213100005651,0.0
59,650209300010113,0.0
